Driver,Team,BrakingDistance,LapNumber
VER,Red Bull Racing,136.34972222222223,5.0
VER,Red Bull Racing,120.30861111111062,6.0
VER,Red Bull Racing,117.39833333333331,7.0
VER,Red Bull Racing,112.8111111111109,8.0
VER,Red Bull Racing,131.0580555555557,9.0
VER,Red Bull Racing,137.0952777777777,10.0
VER,Red Bull Racing,119.44444444444457,11.0
VER,Red Bull Racing,95.26666666666665,12.0
VER,Red Bull Racing,98.87277777777808,13.0
VER,Red Bull Racing,110.95555555555575,14.0
VER,Red Bull Racing,104.72444444444432,15.0
VER,Red Bull Racing,137.87777777777774,17.0
VER,Red Bull Racing,95.20916666666699,18.0
VER,Red Bull Racing,135.6444444444444,19.0
VER,Red Bull Racing,111.73750000000041,20.0
VER,Red Bull Racing,122.61111111111131,21.0
VER,Red Bull Racing,120.95555555555552,22.0
VER,Red Bull Racing,111.49166666666679,23.0
VER,Red Bull Racing,110.08333333333326,24.0
VER,Red Bull Racing,117.0127777777775,27.0
VER,Red Bull Racing,122.1888888888891,28.0
VER,Red Bull Racing,108.61666666666679,29.0
VER,Red Bull Racing,119.18194444444453,30.0
VER,Red Bull Racing,101.56666666666683,31.0
VER,Red Bull Racing,108.93222222222198,32.0
VER,Red Bull Racing,127.91249999999991,33.0
VER,Red Bull Racing,111.73333333333335,34.0
VER,Red Bull Racing,93.91111111111127,35.0
VER,Red Bull Racing,109.28027777777788,36.0
VER,Red Bull Racing,47.333333333333485,37.0
VER,Red Bull Racing,94.69999999999982,38.0
VER,Red Bull Racing,108.26500000000033,39.0
VER,Red Bull Racing,86.66666666666697,40.0
VER,Red Bull Racing,114.74444444444475,41.0
VER,Red Bull Racing,110.7608333333335,42.0
VER,Red Bull Racing,100.8444444444442,43.0
VER,Red Bull Racing,100.4050000000002,44.0
VER,Red Bull Racing,125.85333333333324,45.0
VER,Red Bull Racing,147.38611111111095,46.0
VER,Red Bull Racing,104.46388888888828,47.0
VER,Red Bull Racing,125.12250000000017,48.0
VER,Red Bull Racing,117.87055555555548,49.0
VER,Red Bull Racing,89.80416666666724,50.0
RUS,Mercedes,129.1111111111111,5.0
RUS,Mercedes,144.82111111111112,6.0
RUS,Mercedes,128.14388888888834,7.0
RUS,Mercedes,127.59999999999991,8.0
RUS,Mercedes,122.89611111111117,9.0
RUS,Mercedes,125.50722222222271,10.0
RUS,Mercedes,128.3333333333337,11.0
RUS,Mercedes,117.46861111111139,12.0
RUS,Mercedes,120.34999999999991,13.0
RUS,Mercedes,115.62222222222226,14.0
RUS,Mercedes,138.46527777777783,15.0
RUS,Mercedes,116.60694444444471,19.0
RUS,Mercedes,127.81111111111113,20.0
RUS,Mercedes,127.22083333333376,21.0
RUS,Mercedes,124.12416666666672,22.0
RUS,Mercedes,131.94555555555598,23.0
RUS,Mercedes,120.72138888888912,24.0
RUS,Mercedes,94.8444444444442,25.0
RUS,Mercedes,136.04888888888854,26.0
RUS,Mercedes,123.5691666666662,27.0
RUS,Mercedes,124.56444444444492,28.0
RUS,Mercedes,126.68444444444458,29.0
RUS,Mercedes,136.0474999999999,30.0
RUS,Mercedes,120.38888888888937,31.0
RUS,Mercedes,123.55166666666673,32.0
RUS,Mercedes,112.95555555555575,33.0
RUS,Mercedes,96.88194444444457,34.0
RUS,Mercedes,114.41111111111127,35.0
RUS,Mercedes,174.8683333333338,36.0
RUS,Mercedes,125.3111111111109,37.0
RUS,Mercedes,111.90833333333353,38.0
RUS,Mercedes,111.22222222222217,39.0
RUS,Mercedes,107.90611111111093,40.0
RUS,Mercedes,101.83166666666693,41.0
RUS,Mercedes,114.1099999999999,42.0
RUS,Mercedes,117.76666666666688,43.0
