Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,LapNumber,Driver
2025-11-23 04:04:08.478,0 days 00:57:41.627000,,0.0,0 days 00:00:00,10595.56,0.0,1,27.0,True,1,interpolation,-0.028050364748562637,-4.526538564698271e-06,OnTrack,1557.9629429807774,-1153.009487255722,6069.007044527021,1.0,BOR
2025-11-23 04:04:08.588,0 days 00:57:41.737000,,0.0,0 days 00:00:00.110000,10530.38507584,0.0,1,27.0,True,1,pos,-0.0635193180874542,-1.0250228312661466e-05,OnTrack,1558.0,-1153.0,6069.0,1.0,BOR
2025-11-23 04:04:08.748,0 days 00:57:41.897000,,0.0,0 days 00:00:00.270000,10435.58507584,0.0,1,27.0,True,1,pos,-0.043318655795634306,-6.990410562838642e-06,OnTrack,1558.0,-1153.0,6069.0,1.0,BOR
2025-11-23 04:04:08.830,0 days 00:57:41.979000,,0.0,0 days 00:00:00.352000,10387.0,0.0,1,27.0,True,1,car,0.0,0.0,OnTrack,1557.7005144074687,-1153.075177548087,6069.056937560218,1.0,BOR
2025-11-23 04:04:09.069,0 days 00:57:42.218000,,0.0,0 days 00:00:00.591000,8773.751296,4.267853714285714,1,23.58571702857143,True,1,pos,0.2900041587930667,4.679850049960451e-05,OnTrack,1558.0,-1152.0,6069.0,1.0,BOR
2025-11-23 04:04:09.110,0 days 00:57:42.259000,6,0.0,0 days 00:00:00.632000,8497.0,5.0,1,23.0,False,1,car,0.3888888888888889,6.275570990671054e-05,OnTrack,1558.886229118614,-1151.20137463399,6068.831512015716,1.0,BOR
2025-11-23 04:04:09.268,0 days 00:57:42.417000,6,0.0,0 days 00:00:00.790000,7391.000896,9.937496,1,23.0,False,1,pos,0.9386319917968657,0.0001514687579649309,OnTrack,1564.0,-1147.0,6068.0,1.0,BOR
2025-11-23 04:04:09.430,0 days 00:57:42.579000,6,0.0,0 days 00:00:00.952000,6257.0,15.0,1,23.0,False,1,car,1.722222222222222,0.0002779181438725752,OnTrack,1569.2030819394154,-1143.2439865054441,6067.841976366713,1.0,BOR
2025-11-23 04:04:09.630,0 days 00:57:42.779000,6,0.0,0 days 00:00:01.152000,4857.0,22.0,1,23.0,False,1,car,2.9444444444444438,0.0004751503750079511,OnTrack,1576.9333146443537,-1137.6629170513509,6068.059082192746,1.0,BOR
2025-11-23 04:04:09.669,0 days 00:57:42.818000,6,0.0,0 days 00:00:01.191000,4874.671788,23.218744,1,23.4874976,False,1,pos,3.2344086572828,0.0005219424293559237,OnTrack,1579.0,-1136.0,6068.0,1.0,BOR
2025-11-23 04:04:09.949,0 days 00:57:43.098000,6,0.0,0 days 00:00:01.471000,5001.546788,31.968744,1,26.9874976,False,1,pos,5.7788747761354236,0.0009325475718129293,OnTrack,1598.0,-1120.0,6067.0,1.0,BOR
2025-11-23 04:04:09.950,0 days 00:57:43.099000,6,0.0,0 days 00:00:01.472000,5002.0,32.0,1,27.0,False,1,car,5.788888888888889,0.0009341635674684625,OnTrack,1598.0703869753959,-1119.9427675344155,6066.998208824173,1.0,BOR
2025-11-23 04:04:10.149,0 days 00:57:43.298000,6,0.011055544888887967,0 days 00:00:01.671000,5663.6743616,38.96499328,1,29.98499712,False,1,pos,7.943324467697208,0.0012818287696877535,OnTrack,1614.0,-1107.0,6067.0,1.0,BOR
2025-11-23 04:04:10.150,0 days 00:57:43.299000,23,0.011111111111110183,0 days 00:00:01.672000,5667.0,39.0,1,30.0,False,1,car,7.955555555555556,0.0012838025226629927,OnTrack,1614.1125696128631,-1106.903130405275,6067.0004772139,1.0,BOR
2025-11-23 04:04:10.348,0 days 00:57:43.497000,23,0.13980190454276947,0 days 00:00:01.870000,6505.328597211952,46.721447605899556,1,37.721447605899556,False,1,pos,10.70895082248253,0.001728122943139567,OnTrack,1641.0,-1083.0,6067.0,1.0,BOR
2025-11-23 04:04:10.509,0 days 00:57:43.658000,81,0.24444444444444358,0 days 00:00:02.031000,7187.0,53.0,1,44.0,False,1,car,13.240833333333336,0.0021366974458022657,OnTrack,1655.3051074721316,-1070.4172401662506,6066.650889277893,1.0,BOR
2025-11-23 04:04:10.689,0 days 00:57:43.838000,81,0.19444444444444375,0 days 00:00:02.211000,8309.0,59.0,1,47.75,False,1,pos,16.2281921680847,0.002618772994313165,OnTrack,1672.0,-1055.0,6066.0,1.0,BOR
2025-11-23 04:04:10.749,0 days 00:57:43.898000,81,0.17777777777777715,0 days 00:00:02.271000,8683.0,61.0,1,49.0,False,1,car,17.307499999999997,0.002792942869398152,OnTrack,1680.8761566371304,-1046.455822604246,6065.763285460059,1.0,BOR
2025-11-23 04:04:10.969,0 days 00:57:44.118000,81,0.17777777777777715,0 days 00:00:02.491000,9333.833333333334,71.08333333333333,1,52.666666666666664,False,1,pos,21.688151488013677,0.003499856596786061,OnTrack,1720.0,-1008.0,6065.0,1.0,BOR
2025-11-23 04:04:10.989,0 days 00:57:44.138000,81,0.17777777777777715,0 days 00:00:02.511000,9393.0,72.0,1,53.0,False,1,car,22.1075,0.0035675276316752655,OnTrack,1723.0203406901383,-1004.9771999523822,6064.964639551946,1.0,BOR
2025-11-23 04:04:11.269,0 days 00:57:44.418000,81,0.09999999999999787,0 days 00:00:02.791000,8208.0,80.0,2,58.0,False,1,car,28.32972222222222,0.004571618990182633,OnTrack,1756.4850442990823,-970.1842480157009,6065.043712300237,1.0,BOR
